name,wiki,status,url,error
Rem,saimoe,fetched,https://saimoe.fandom.com/en/wiki/Rem_(Re:Zero),
Asuna Yuuki,hero,fetched,https://hero.fandom.com/en/wiki/Asuna_Yuuki,
Nico Robin,onepiece,fetched,https://onepiece.fandom.com/en/wiki/Nico_Robin,
Rias Gremory,highschooldxd,fetched,https://highschooldxd.fandom.com/en/wiki/Rias_Gremory,
Mai Sakurajima,aobuta,fetched,https://aobuta.fandom.com/en/wiki/Mai_Sakurajima,
C.C.,codegeass,fetched,https://codegeass.fandom.com/en/wiki/C.C.,
Emilia,saimoe,fetched,https://saimoe.fandom.com/en/wiki/Emilia_(Re:Zero),
Shinobu Oshino,bakemonogatari,fetched,https://bakemonogatari.fandom.com/en/wiki/Shinobu_Oshino,
Shinobu Kocho,kimetsu-no-yaiba,fetched,https://kimetsu-no-yaiba.fandom.com/en/wiki/Shinobu_Kocho,
